gyro_x,gyro_y,gyro_z,acceleration_x,acceleration_y,acceleration_z,activity
0.7964,0.1371,0.2575,-0.04311,0.02395,9.899,1
0.07554,0.1628,0.01316,-0.08862,0.04311,9.901,1
-0.3081,0.09315,-0.06258,-2.857,-3.193,10.33,1
-0.1725,0.0284,-0.06136,-0.04551,0.02395,9.836,1
0.06821,0.01374,-0.02837,-0.06946,0.03114,9.889,1
0.06332,0.02229,-0.008827,-0.06706,0.05988,9.877,1
-0.02342,0.05283,0.02294,-0.08143,0.05509,9.853,1
-0.04541,0.08582,0.0547,-0.05509,-0.01198,9.925,1
-0.1798,0.1396,0.1024,-0.07185,0.03353,9.918,1
-0.3264,0.2239,0.2416,-0.03832,-0.00958,9.891,1
-0.4694,0.2972,0.3956,-0.06467,0.03114,9.879,1
-0.583,0.3876,0.6143,-0.06706,0.0479,9.932,1
-0.9556,0.4743,0.8183,-0.07664,0.02395,9.858,1
-1.147,0.5794,1.116,-5.008,4.943,4.179,1
-1.167,0.5916,1.391,-0.02874,0.04311,9.844,1
-1.36,0.7126,1.556,-0.06946,-0.007185,9.839,1
-1.529,0.7065,1.626,-0.07664,0.01916,9.856,1
-0.9214,0.6845,1.692,-4.445,6.938,4.919,1
-1.179,0.6283,1.726,-0.01677,0.02874,9.884,1
-1.697,0.5537,1.559,-0.07904,-0.002395,9.817,1
-1.548,0.5537,1.394,-5.715,-0.8191,9.472,1
-1.433,0.5244,1.329,-0.07664,-0.007185,9.784,1
-1.466,0.4389,1.357,-0.02395,0.007185,9.903,1
-1.405,0.3424,1.428,-0.03353,0.02635,9.827,1
-1.287,0.2508,1.418,-0.06467,0.007185,9.834,1
-1.307,0.175,1.267,-0.05748,0.03114,9.899,1
-1.211,0.1066,1.066,-0.07904,0.00479,9.851,1
-0.958,0.109,0.8134,-0.05509,0.01198,9.848,1
-0.7577,0.1555,0.541,-0.1054,0.007185,9.856,1
-0.4828,0.2031,0.2844,-0.08143,0.01916,9.786,1
-0.3887,0.2043,0.06448,-0.1006,0.04311,9.875,1
-0.3325,0.175,-0.08702,-5.597,1.317,8.354,1
-0.09061,0.1555,-0.1628,-0.03832,0.00479,9.834,1
-0.02953,0.1127,-0.1848,-0.05988,0.03114,9.915,1
-0.01853,0.06261,-0.208,-0.05748,0.00479,9.86,1
0.01568,0.0284,-0.2092,-6.17,-4.682,3.935,1
-0.09184,0.005185,-0.1835,-0.08622,0.02635,9.896,1
0.03645,-0.003367,-0.1163,-0.1126,0,9.867,1
0.08165,-0.01314,-0.03815,-2.314,-9.324,-4.931,1
-0.1725,-0.0278,-0.01127,-0.05269,0.01677,9.858,1
-0.4241,-0.05224,-0.05281,-0.03832,0.00479,9.937,1
-0.7051,-0.1304,-0.2752,-0.03593,0.02635,9.93,1
-0.9373,-0.4078,-0.6441,-1.13,6.725,5.317,1
-0.3472,-0.7743,-1.079,-0.03114,-0.00479,9.906,1
-0.3899,-1.171,-1.602,-2.932,-7.096,-6.972,1
-0.2812,-1.506,-2.199,-0.05748,0.01437,9.896,1
-2.793,-0.4823,-4.786,-2.577,-10.06,-4.014,1
-1.189,-0.3381,-4.083,-3.849,3.027,7.863,1
